,err_UBA,err_AgUBA,ratio_vec1,ratio_vec2
1,0.000858972,0.014799894,0.5705655,0.27974
2,0.000855381,0.018247901,0.563288833,0.339318333
3,0.000846163,0.021563951,0.558061833,0.372288667
4,0.000864867,0.024836125,0.554368167,0.3938555
5,0.000841739,0.028144159,0.551339833,0.409296833
6,0.000866891,0.03144514,0.5490125,0.420755
7,0.000857031,0.034854883,0.546762,0.429812333
8,0.000868366,0.038254789,0.544576833,0.4368245
9,0.000859212,0.04149851,0.542711333,0.442955333
10,0.000853955,0.045279122,0.541273333,0.447464333
