,err_UBA,err_AgUBA,ratio_vec1,ratio_vec2
1,0.000868492,0.014787492,0.569633667,0.2799675
2,0.000868336,0.018274989,0.563385667,0.339205833
3,0.000864632,0.021532498,0.55787,0.372606667
4,0.000867488,0.024839617,0.554536833,0.3937345
5,0.000846276,0.028185843,0.551169167,0.408715167
6,0.000848045,0.031453445,0.5483415,0.420684333
7,0.000864747,0.034803052,0.546274,0.4292185
8,0.000862919,0.038271113,0.544177667,0.436661667
9,0.000873012,0.041667039,0.5428865,0.44245
10,0.000868167,0.045121358,0.54087,0.44762
